,paperId,url,title,citationCount,influentialCitationCount,year
0,2ef9abf5245f8abb1dd05896a23b8885ce562b90,https://www.semanticscholar.org/paper/2ef9abf5245f8abb1dd05896a23b8885ce562b90,Syntax-Based Word Ordering Incorporating a Large-Scale Language Model,25,1,2012
1,4748fcfb83d8da742406d8606e31dc5710e8b09c,https://www.semanticscholar.org/paper/4748fcfb83d8da742406d8606e31dc5710e8b09c,Recent Progress in Development of Language Model for Slovak Large Vocabulary Continuous Speech Recognition,14,0,2012
2,8c8690406427e651503da0b07d293e91e6fa6e42,https://www.semanticscholar.org/paper/8c8690406427e651503da0b07d293e91e6fa6e42,Large-scale discriminative language model reranking for voice-search,9,1,2012
3,fbdada9261955f0820a4e3c0637bb4eb197b5268,https://www.semanticscholar.org/paper/fbdada9261955f0820a4e3c0637bb4eb197b5268,0 Recent Progress in Development of Language Model for Slovak Large Vocabulary Continuous Speech Recognition,1,0,2012
4,04b1e6e0e38e2f707ad73b736e94b1d1b25186a1,https://www.semanticscholar.org/paper/04b1e6e0e38e2f707ad73b736e94b1d1b25186a1,FASTSUBS: An Efficient and Exact Procedure for Finding the Most Likely Lexical Substitutes Based on an N-Gram Language Model,28,1,2012
5,186f9616e98218d29d08608de311a86d40bec6b5,https://www.semanticscholar.org/paper/186f9616e98218d29d08608de311a86d40bec6b5,"A Scalable Distributed Syntactic, Semantic, and Lexical Language Model",19,3,2012
6,8cd93133e34d5d23578539de3eace03dbe3dbda7,https://www.semanticscholar.org/paper/8cd93133e34d5d23578539de3eace03dbe3dbda7,Online Review Spam Detection using Language Model and Feature Selection,18,2,2012
7,151ff93e5d189bd810165dd90b1cbcb6194e8594,https://www.semanticscholar.org/paper/151ff93e5d189bd810165dd90b1cbcb6194e8594,Translation Model Based Cross-Lingual Language Model Adaptation: from Word Models to Phrase Models,6,0,2012
8,38d48c2b19bfbe8703e80a0f106137faf88cf81a,https://www.semanticscholar.org/paper/38d48c2b19bfbe8703e80a0f106137faf88cf81a,A Category-integrated Language Model for Question Retrieval in Community Question Answering,6,0,2012
9,0fd943d3f6eeec31be0a034ab83d2a595c4f08a6,https://www.semanticscholar.org/paper/0fd943d3f6eeec31be0a034ab83d2a595c4f08a6,Phrase-based data selection for language model adaptation in spoken language translation,3,1,2012
